transaction_id,timestamp,amount,feature1,feature2,label
1,2023-01-01 00:00:01,118.27,0.63,4.83,0
2,2023-01-01 00:00:02,222.29,0.93,4.41,0
3,2023-01-01 00:00:03,458.03,0.34,1.9,0
4,2023-01-01 00:00:04,294.32,0.02,4.7,0
5,2023-01-01 00:00:05,345.8,0.4,4.33,0
6,2023-01-01 00:00:06,24.28,0.53,1.11,0
7,2023-01-01 00:00:07,71.35,0.21,2.56,0
8,2023-01-01 00:00:08,91.64,0.58,0.21,0
9,2023-01-01 00:00:09,75.03,0.26,4.75,0
10,2023-01-01 00:00:10,407.25,0.09,3.25,0
11,2023-01-01 00:00:11,233.54,0.36,0.9,0
12,2023-01-01 00:00:12,481.19,0.99,2.54,0
13,2023-01-01 00:00:13,409.77,0.99,0.25,0
14,2023-01-01 00:00:14,197.32,0.01,1.15,0
15,2023-01-01 00:00:15,292.36,0.27,3.82,0
16,2023-01-01 00:00:16,14.8,0.71,1.96,0
17,2023-01-01 00:00:17,245.24,0.84,1.06,0
18,2023-01-01 00:00:18,135.26,0.61,2.23,0
19,2023-01-01 00:00:19,299.64,0.57,0.89,1
20,2023-01-01 00:00:20,498.99,0.44,2.72,0
21,2023-01-01 00:00:21,420.39,0.54,2.18,0
22,2023-01-01 00:00:22,112.37,0.9,4.52,0
23,2023-01-01 00:00:23,191.35,0.03,4.64,0
24,2023-01-01 00:00:24,453.29,0.48,2.93,0
25,2023-01-01 00:00:25,351.96,0.57,3.57,0
26,2023-01-01 00:00:26,131.93,0.07,3.6,0
27,2023-01-01 00:00:27,317.5,0.1,0.1,0
28,2023-01-01 00:00:28,76.47,0.0,2.48,0
29,2023-01-01 00:00:29,472.17,0.83,1.8,0
30,2023-01-01 00:00:30,204.19,0.3,4.94,0
31,2023-01-01 00:00:31,483.36,0.25,4.38,0
32,2023-01-01 00:00:32,258.21,0.23,2.54,0
33,2023-01-01 00:00:33,391.09,1.0,0.46,0
34,2023-01-01 00:00:34,488.59,0.85,4.15,1
35,2023-01-01 00:00:35,106.22,0.33,0.38,1
36,2023-01-01 00:00:36,17.39,0.14,1.69,1
37,2023-01-01 00:00:37,299.88,0.98,3.58,1
38,2023-01-01 00:00:38,482.0,0.44,1.48,0
39,2023-01-01 00:00:39,292.61,0.57,1.51,0
40,2023-01-01 00:00:40,104.12,0.71,1.66,0
41,2023-01-01 00:00:41,47.74,0.34,3.06,0
42,2023-01-01 00:00:42,469.82,0.21,1.33,0
43,2023-01-01 00:00:43,302.19,0.02,3.26,0
44,2023-01-01 00:00:44,104.39,0.59,3.83,0
45,2023-01-01 00:00:45,402.41,0.34,3.67,0
46,2023-01-01 00:00:46,49.73,0.36,2.41,0
47,2023-01-01 00:00:47,149.28,0.37,0.84,0
48,2023-01-01 00:00:48,479.68,0.6,4.18,0
49,2023-01-01 00:00:49,131.31,0.04,0.39,1
50,2023-01-01 00:00:50,442.37,0.64,1.81,0
51,2023-01-01 00:00:51,457.67,0.1,1.83,0
52,2023-01-01 00:00:52,461.88,0.6,4.05,0
53,2023-01-01 00:00:53,37.44,0.49,2.24,0
54,2023-01-01 00:00:54,466.02,0.07,4.27,0
55,2023-01-01 00:00:55,465.41,0.02,4.95,0
56,2023-01-01 00:00:56,184.37,0.73,4.47,0
57,2023-01-01 00:00:57,351.07,0.67,4.7,0
58,2023-01-01 00:00:58,220.5,0.78,0.47,0
59,2023-01-01 00:00:59,157.2,0.44,0.27,0
60,2023-01-01 00:01:00,393.83,0.86,2.14,0
61,2023-01-01 00:01:01,360.74,0.37,2.01,1
62,2023-01-01 00:01:02,395.66,0.52,3.29,0
63,2023-01-01 00:01:03,255.95,0.79,0.38,0
64,2023-01-01 00:01:04,180.08,0.03,2.15,0
65,2023-01-01 00:01:05,76.17,0.47,2.04,0
66,2023-01-01 00:01:06,83.64,0.22,4.3,0
67,2023-01-01 00:01:07,79.97,0.99,1.92,0
68,2023-01-01 00:01:08,315.8,0.37,3.39,0
69,2023-01-01 00:01:09,442.51,0.27,1.69,0
70,2023-01-01 00:01:10,492.7,0.9,2.46,0
71,2023-01-01 00:01:11,403.0,0.45,0.0,0
72,2023-01-01 00:01:12,122.73,0.46,1.33,0
73,2023-01-01 00:01:13,264.78,0.24,3.39,0
74,2023-01-01 00:01:14,101.54,0.72,2.35,0
75,2023-01-01 00:01:15,191.85,0.01,1.57,0
76,2023-01-01 00:01:16,263.33,0.4,1.72,0
77,2023-01-01 00:01:17,432.83,0.21,0.96,0
78,2023-01-01 00:01:18,452.87,0.1,1.42,0
79,2023-01-01 00:01:19,329.73,0.48,2.17,0
80,2023-01-01 00:01:20,105.56,0.93,0.73,0
81,2023-01-01 00:01:21,321.14,0.3,3.69,0
82,2023-01-01 00:01:22,274.3,0.24,1.18,1
83,2023-01-01 00:01:23,174.76,0.87,2.17,0
84,2023-01-01 00:01:24,81.79,0.06,0.45,0
85,2023-01-01 00:01:25,449.9,0.75,0.27,0
86,2023-01-01 00:01:26,93.38,0.11,0.55,0
87,2023-01-01 00:01:27,415.32,0.77,2.68,0
88,2023-01-01 00:01:28,188.25,0.64,4.96,0
89,2023-01-01 00:01:29,189.57,0.33,4.25,0
90,2023-01-01 00:01:30,424.43,0.8,0.25,1
91,2023-01-01 00:01:31,498.94,0.86,2.35,0
92,2023-01-01 00:01:32,359.54,0.65,1.89,0
93,2023-01-01 00:01:33,189.64,0.85,4.3,0
94,2023-01-01 00:01:34,201.03,0.71,4.85,0
95,2023-01-01 00:01:35,116.71,0.5,1.5,0
96,2023-01-01 00:01:36,181.32,0.93,3.86,0
97,2023-01-01 00:01:37,193.17,0.22,1.18,0
98,2023-01-01 00:01:38,215.23,0.36,0.81,1
99,2023-01-01 00:01:39,142.48,0.67,2.24,0
100,2023-01-01 00:01:40,401.5,0.63,2.24,0
101,2023-01-01 00:01:41,175.09,0.69,1.25,0
102,2023-01-01 00:01:42,251.38,0.18,0.53,0
103,2023-01-01 00:01:43,135.0,0.51,1.82,0
104,2023-01-01 00:01:44,63.54,0.98,4.36,0
105,2023-01-01 00:01:45,219.92,0.69,4.42,0
106,2023-01-01 00:01:46,286.3,0.13,3.76,0
107,2023-01-01 00:01:47,242.61,0.09,0.52,0
108,2023-01-01 00:01:48,221.97,0.78,4.61,0
109,2023-01-01 00:01:49,455.25,0.67,3.05,0
110,2023-01-01 00:01:50,418.67,0.38,3.2,0
111,2023-01-01 00:01:51,66.53,0.15,3.08,0
112,2023-01-01 00:01:52,206.3,0.91,0.11,0
113,2023-01-01 00:01:53,441.88,0.33,3.23,0
114,2023-01-01 00:01:54,389.89,0.61,4.81,0
115,2023-01-01 00:01:55,144.0,0.15,1.1,0
116,2023-01-01 00:01:56,494.74,0.14,3.51,0
117,2023-01-01 00:01:57,29.18,0.05,0.78,0
118,2023-01-01 00:01:58,27.91,0.4,0.74,0
119,2023-01-01 00:01:59,60.84,0.8,3.42,0
120,2023-01-01 00:02:00,409.15,0.32,0.32,1
121,2023-01-01 00:02:01,266.55,0.01,1.63,0
122,2023-01-01 00:02:02,13.17,0.47,3.18,0
123,2023-01-01 00:02:03,96.52,0.01,1.51,0
124,2023-01-01 00:02:04,299.46,0.22,1.44,0
125,2023-01-01 00:02:05,362.23,0.44,3.98,0
126,2023-01-01 00:02:06,161.25,0.52,2.88,0
127,2023-01-01 00:02:07,377.57,0.06,2.32,1
128,2023-01-01 00:02:08,19.34,0.06,2.73,0
129,2023-01-01 00:02:09,487.94,0.57,3.22,0
130,2023-01-01 00:02:10,228.16,0.31,1.56,0
131,2023-01-01 00:02:11,232.85,0.04,3.74,1
132,2023-01-01 00:02:12,109.03,0.04,2.78,0
133,2023-01-01 00:02:13,349.16,0.26,2.82,0
134,2023-01-01 00:02:14,69.53,0.44,3.38,0
135,2023-01-01 00:02:15,422.2,0.82,2.02,0
136,2023-01-01 00:02:16,73.16,0.14,4.25,0
137,2023-01-01 00:02:17,422.91,0.36,1.27,0
138,2023-01-01 00:02:18,461.99,0.62,0.26,0
139,2023-01-01 00:02:19,209.91,0.39,1.87,0
140,2023-01-01 00:02:20,56.54,0.56,1.3,0
141,2023-01-01 00:02:21,27.36,0.71,4.4,0
142,2023-01-01 00:02:22,71.27,0.35,4.15,1
143,2023-01-01 00:02:23,100.21,0.04,4.33,0
144,2023-01-01 00:02:24,147.59,0.75,2.96,0
145,2023-01-01 00:02:25,195.22,0.35,4.48,0
146,2023-01-01 00:02:26,306.35,0.91,1.44,0
147,2023-01-01 00:02:27,83.63,0.72,1.83,0
148,2023-01-01 00:02:28,249.85,0.85,4.17,0
149,2023-01-01 00:02:29,423.51,0.96,1.88,0
150,2023-01-01 00:02:30,481.04,0.69,2.8,0
151,2023-01-01 00:02:31,46.73,0.17,1.82,0
152,2023-01-01 00:02:32,410.16,0.96,3.25,0
153,2023-01-01 00:02:33,425.33,0.08,3.3,0
154,2023-01-01 00:02:34,62.04,0.05,0.05,0
155,2023-01-01 00:02:35,432.29,0.38,3.3,0
156,2023-01-01 00:02:36,464.94,0.5,1.98,0
157,2023-01-01 00:02:37,100.57,0.54,0.05,0
158,2023-01-01 00:02:38,403.19,0.7,2.5,0
